Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature ©,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,3,16,185,190,2.5,16.93,,0.37,19.79682927,,,16.7,16.7,14160,14120,,,,,,,5.273684211,0.00118272,,2.770833333,2.513888889,18.45865854,15.6,4458.947368,4592.432432,150,220,,,,,23,77,,77,,
Godavari,SRM,NL,3,17,190,180,2.4,15.16,,0.32,17.87609756,,,15.1,15.1,14120,13880,,,,,,,5.033333333,0.001087896,,2.513888889,2.256944444,19.79682927,16.7,4626.666667,4458.947368,120,200,,,,,19,74,7,74,,
Godavari,SRM,NL,3,18,180,170,2.4,15.39,,0.33,18.11780488,,,15.3,15.3,13880,13640,,,,,,,5.4,0.001121701,,2.256944444,2,17.87609756,15.1,4814.117647,4626.666667,130,200,,,,,19,74,7,74,,
Godavari,SRM,NL,4,1,0,240,2.4,16.92,,0.37,19.69439024,,,16.6,16.6,0,14840,0,0,,,,,4.15,0.001118598,,6.625,6.3359375,0,0,3710,0,150,220,,,,,19,74,7,74,,
Godavari,SRM,NL,4,2,240,190,2.4,17.05,,0.37,19.81634146,,,16.7,16.7,14840,14920,,,,,,,5.273684211,0.001119303,,6.3359375,6.046875,19.69439024,16.6,4711.578947,3710,150,220,,,,,19,74,7,74,,
Godavari,SRM,NL,4,3,190,170,2.5,14.35,,0.385,17.23256098,,,14.6,14.6,14920,13400,,,,,,,5.152941176,0.001089552,,6.046875,5.7578125,19.81634146,16.7,4729.411765,4711.578947,160,225,,,,,19,74,7,74,,
Godavari,SRM,NL,4,4,170,155,2.4,13.19,,0.335,15.92158537,,,13.5,13.5,13400,13200,,,,,,,5.225806452,0.001022727,,5.7578125,5.46875,17.23256098,14.6,5109.677419,4729.411765,120,215,,,,,19,74,7,74,,
Godavari,SRM,NL,4,5,155,135,2.4,13.80,,0.33,16.53243902,,,14,14,13200,10880,,,,,,,6.222222222,0.001286765,,5.46875,5.1796875,15.92158537,13.5,4835.555556,5109.677419,100,230,,,,,19,74,7,74,,
Godavari,SRM,NL,4,6,135,160,2.5,15.00,,0.35,17.85,,,15.1,15.1,10880,11600,,,,,,,5.6625,0.001301724,,5.1796875,4.890625,16.53243902,14,4350,4835.555556,100,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,7,160,160,3.2,15.25,,0.36,18.80878049,,,16,16,11600,12840,,,,,,,6,0.001246106,,4.890625,4.6015625,17.85,15.1,4815,4350,100,260,,,,,25,75,,75,,
Godavari,SRM,NL,4,8,160,170,2.5,16.46,,0.35,19.31341463,,,16.3,16.3,12840,13720,,,,,,,5.752941176,0.001188047,,4.6015625,4.3125,18.80878049,16,4842.352941,4815,100,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,9,170,170,2.5,16.28,,0.4,19.1804878,,,16.2,16.2,13720,14640,,,,,,,5.717647059,0.001106557,,4.3125,4.0234375,19.31341463,16.3,5167.058824,4842.352941,150,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,10,170,190,2.5,16.88,,0.41,19.78804878,,,16.7,16.7,14640,15120,,,,,,,5.273684211,0.001104497,,4.0234375,3.734375,19.1804878,16.2,4774.736842,5167.058824,150,260,,,,,25,75,,75,,
Godavari,SRM,NL,4,11,190,200,2.5,16.77,,0.4,19.66829268,,,16.6,16.6,15120,16560,,,,,,,4.98,0.001002415,,3.734375,3.4453125,19.78804878,16.7,4968,4774.736842,150,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,12,200,160,2.5,13.63,,0.37,16.50414634,,,14,14,16560,11560,,,,,,,5.25,0.001211073,,3.4453125,3.15625,19.66829268,16.6,4335,4968,120,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,13,160,195,2.5,16.18,,0.38,19.06292683,,,16.1,16.1,11560,13840,,,,,,,4.953846154,0.001163295,,3.15625,2.8671875,16.50414634,14,4258.461538,4335,130,250,,,,,25,75,,75,,
Godavari,SRM,NL,4,14,195,170,2.4,16.30,,0.385,19.08134146,,,16.1,16.1,13840,13320,,,,,,,5.682352941,0.001208709,,2.8671875,2.578125,19.06292683,16.1,4701.176471,4258.461538,135,250,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,4,15,170,185,2.4,17.38,,0.4,20.17560976,,,17,17,13320,15720,,,,,,,5.513513514,0.001081425,,2.578125,2.2890625,19.08134146,16.1,5098.378378,4701.176471,150,250,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,4,16,185,185,2.4,17.48,,0.415,20.29426829,,,17.1,17.1,15720,14560,,,,,,,5.545945946,0.001174451,,2.2890625,2,20.17560976,17,4722.162162,5098.378378,150,265,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,5,1,0,270,2.4,17.74,,0.4,20.54146341,,,17.3,17.3,0,15680,0,0,,,,,3.844444444,0.001103316,,6.625,6.352941176,0,0,3484.444444,0,150,250,,,,,21.5,71,7.5,71,,
Godavari,SRM,NL,5,2,270,215,2.4,15.92,,0.39,18.71439024,,,15.8,15.8,15680,14880,,,,,,,4.409302326,0.001061828,,6.352941176,6.080882353,20.54146341,17.3,4152.55814,3484.444444,150,240,,,,,21.5,71,7.5,71,,
