Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,14,8,205,220,1.6,17.08,,0.33,19.01,,,15.9,15.9,13400,15400,,,,,,,4.34,0.001032468,,4.31,3.98,18.89,15.8,4200,3921.95,130,200,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,9,220,180,1.6,14.71,,0.37,16.68,,,14,14,15400,13480,,,,,,,4.67,0.001038576,,3.98,3.65,19.01,15.9,4493.33,4200,130,240,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,10,180,220,1.6,18.6,,0.38,20.58,,,17.2,17.2,13480,16480,,,,,,,4.69,0.001043689,,3.65,3.32,16.68,14,4494.55,4493.33,130,250,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,11,220,180,1.6,17.39,,0.38,19.36,,,16.2,16.2,16480,13840,,,,,,,5.4,0.00117052,,3.32,2.99,20.58,17.2,4613.33,4494.55,135,240,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,14,12,180,210,1.6,18.73,,0.38,20.7,,,17.3,17.3,13840,14720,,,,,,,4.94,0.001175272,,2.99,2.66,19.36,16.2,4205.71,4613.33,135,240,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,14,13,210,340,1.6,16.7,,0.34,18.64,,,15.6,15.6,14720,15480,,,,,,,2.75,0.001007752,,2.66,2.33,20.7,17.3,2731.76,4205.71,140,200,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,14,14,340,255,1.6,16.3,,0.37,18.27,,,15.3,15.3,15480,14920,,,,,,,3.6,0.001025469,,2.33,2,18.64,15.6,3510.59,2731.76,150,220,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,15,1,0,180,3,15.3,,0.41,18.71,,,15.9,15.9,0,13040,0,0,,,,,5.3,0.001219325,,6.63,6.16,0,0,4346.67,0,200,210,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,15,2,180,180,1.6,14.31,,0.3,16.21,,,13.6,13.6,13040,12960,,,,,,,4.53,0.001049383,,6.16,5.7,18.71,15.9,4320,4346.67,120,180,,,,,17.8,70.8,11.4,70.8,,
Godavari,SRM,NL,15,3,180,190,1.6,16.4,,0.28,18.28,,,15.3,15.3,12960,12440,,,,,,,4.83,0.001229904,,5.7,5.24,16.21,13.6,3928.42,4320,100,180,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,4,190,180,1.6,16.53,,0.28,18.41,,,15.4,15.4,12440,12560,,,,,,,5.13,0.001226115,,5.24,4.78,18.28,15.3,4186.67,3928.42,100,180,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,5,180,190,1.6,16.17,,0.28,18.04,,,15.1,15.1,12560,12920,,,,,,,4.77,0.001168731,,4.78,4.31,18.41,15.4,4080,4186.67,100,175,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,6,190,195,1.6,16.05,,0.28,17.92,,,15,15,12920,12000,,,,,,,4.62,0.00125,,4.31,3.85,18.04,15.1,3692.31,4080,100,175,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,7,195,160,1.6,15.09,,0.26,16.95,,,14.2,14.2,12000,11680,,,,,,,5.33,0.001215753,,3.85,3.39,17.92,15,4380,3692.31,85,175,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,8,160,165,1.6,14.21,,0.28,16.09,,,13.5,13.5,11680,11040,,,,,,,4.91,0.001222826,,3.39,2.93,16.95,14.2,4014.55,4380,100,180,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,9,165,185,1.6,17.25,,0.29,19.14,,,16,16,11040,13500,,,,,,,5.19,0.001185185,,2.93,2.46,16.09,13.5,4378.38,4014.55,110,180,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,15,10,185,155,1.6,16.4,,0.28,18.28,,,15.3,15.3,13500,12300,,,,,,,5.92,0.001243902,,2.46,2,19.14,16,4761.29,4378.38,100,180,,,,,14.3,81,4.7,81,,
Godavari,SRM,NL,16,1,0,350,2.4,16.89,,0.3,19.59,,,16.5,16.5,0,15480,0,0,,,,,2.83,0.001065891,,6.63,6.11,0,0,2653.71,0,100,200,,,,,13,82,5,82,,
Godavari,SRM,NL,16,2,350,190,1.6,16.16,,0.28,18.04,,,15.1,15.1,15480,11680,,,,,,,4.77,0.001292808,,6.11,5.6,19.59,16.5,3688.42,2653.71,100,180,,,,,13,82,5,82,,
Godavari,SRM,NL,16,3,190,170,1.6,14.82,,0.28,16.7,,,14,14,11680,10600,,,,,,,4.94,0.001320755,,5.6,5.08,18.04,15.1,3741.18,3688.42,100,180,,,,,13,82,5,82,,
Godavari,SRM,NL,16,4,170,200,1.6,14.55,,0.3,16.45,,,13.8,13.8,10600,12240,,,,,,,4.14,0.001127451,,5.08,4.57,16.7,14,3672,3741.18,110,190,,,,,13,82,5,82,,
Godavari,SRM,NL,16,5,200,165,1.6,12.38,,0.28,14.26,,,12,12,12240,10760,,,,,,,4.36,0.001115242,,4.57,4.06,16.45,13.8,3912.73,3672,100,180,,,,,13,82,5,82,,
Godavari,SRM,NL,16,6,165,160,1.6,13.84,,0.28,15.72,,,13.2,13.2,10760,9680,,,,,,,4.95,0.001363636,,4.06,3.54,14.26,12,3630,3912.73,100,180,,,,,13,82,5,82,,
Godavari,SRM,NL,16,7,160,165,1.6,15.31,,0.28,17.19,,,14.4,14.4,9680,9320,,,,,,,5.24,0.001545064,,3.54,3.03,15.72,13.2,3389.09,3630,100,180,,,,,5.4,92.6,2,92.6,,
