campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature (C),Output (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous
9,48,105,145,0,37.46341463,0,0.73,38.19341463,0.243,1667,31.45,16209.4304,20118.565,3430,290,3430,3305,308,3305,13.0137931,0.001563233,3,4.636243635,4.591270095,32.7362439,26.96,8324.923448,9262.531657
9,49,145,275,0,37.43292683,0,0.755,38.18792683,0.234,1688,31.45,20118.565,20270.783,3305,308,3305,3277,308,3277,6.861818182,0.001551494,3,4.591270095,4.546296556,38.19341463,31.45,4422.716291,8324.923448
9,50,275,120,0,33.38414634,0,0.705,34.08914634,0.224,1669,28.08,20270.783,17248.14,3277,308,3277,3317,308,3317,14.04,0.001628002,3,4.546296556,4.501323016,38.18792683,31.45,8624.07,4422.716291
9,51,120,120,0,33.40853659,0,0.685,34.09353659,0.233,1664,28.08,17248.14,17149.86,3317,308,3317,3367,318,3367,14.04,0.001637331,5,4.501323016,4.456349476,34.08914634,28.08,8574.93,8624.07
9,52,120,150,0,38.89634146,0,0.675,39.57134146,0.255,1677,32.57,17149.86,19870.6313,3367,318,3367,3341,320,3341,13.028,0.001639102,5,4.456349476,4.411375937,34.09353659,28.08,7948.25252,8574.93
9,53,150,250,0,38.84146341,0,0.72,39.56146341,0.261,1677,32.57,19870.6313,20434.7437,3341,320,3341,3473,330,3473,7.8168,0.001593854,6,4.411375937,4.366402397,39.57134146,32.57,4904.338488,7948.25252
9,54,250,115,0,32.73780488,0,0.675,33.41280488,0.237,1690,27.52,20434.7437,16301.1968,3473,330,3473,3388,312,3388,14.35826087,0.00168822,4,4.366402397,4.321428857,39.56146341,32.57,8504.972243,4904.338488
9,55,115,120,0,33.68536585,0,0.668,34.35336585,0.256,1651,28.29,16301.1968,17342.0529,3388,312,3388,3390,333,3390,14.145,0.001631295,6,4.321428857,4.276455317,33.41280488,27.52,8671.02645,8504.972243
9,56,120,105,0,31.98780488,0,0.73,32.71780488,0.274,1659,26.96,17342.0529,15447.2712,3390,333,3390,3566,313,3566,15.40571429,0.001745292,5,4.276455317,4.231481778,34.35336585,28.29,8827.012114,8671.02645
9,57,105,105,0,29.17073171,0,0.56,29.73073171,0.217,1661,24.48,15447.2712,15114.6864,3566,313,3566,3580,305,3580,13.98857143,0.001619617,4,4.231481778,4.186508238,32.71780488,26.96,8636.963657,8827.012114
9,58,105,115,0,29.43902439,0,0.57,30.00902439,0.234,1651,24.71,15114.6864,15403.9669,3580,305,3580,3403,314,3403,12.89217391,0.001604132,5,4.186508238,4.141534698,29.73073171,24.48,8036.852296,8636.963657
9,59,115,130,0,34.83536585,0,0.635,35.47036585,0.249,1679,29.2,15403.9669,18231.02,3403,314,3403,3366,362,3366,13.47692308,0.001601666,8,4.141534698,4.096561159,30.00902439,24.71,8414.316923,8036.852296
9,60,130,110,0,31.12804878,0,0.585,31.71304878,0.236,1652,26.11,18231.02,15492.6296,3366,362,3366,3498,328,3498,14.24181818,0.001685318,6,4.096561159,4.051587619,35.47036585,29.2,8450.525236,8414.316923
9,61,110,105,0,30.07926829,0,0.365,30.44426829,0.212,1650,25.03,15492.6296,15293.33,3498,328,3498,3428,351,3428,14.30285714,0.001636661,8,4.051587619,4.006614079,31.71304878,26.11,8739.045714,8450.525236
9,62,105,145,0,37.48780488,0,0.71,38.19780488,0.226,1701,31.45,15293.33,19974.524,3428,351,3428,3210,368,3210,13.0137931,0.001574506,8,4.006614079,3.96164054,30.44426829,25.03,8265.320276,8739.045714
9,63,145,110,0,29.92073171,0,0.735,30.65573171,0.229,1666,25.27,19974.524,15896.8516,3210,368,3210,3210,368,3210,13.78363636,0.001589623,8,3.96164054,3.916667,38.19780488,31.45,8671.009964,8265.320276
